"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_nocomp","Phase Shift","MeanState","global","scalar","months","1.48518","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_nocomp","Seasonal Cycle Score","MeanState","global","score","1","0.757355","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_nocomp","Bias","MeanState","global","scalar","mm d-1","-0.277304","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_nocomp","Bias Score","MeanState","global","score","1","0.433279","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_nocomp","RMSE","MeanState","global","scalar","mm d-1","0.781445","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_nocomp","RMSE Score","MeanState","global","score","1","0.530397","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_nocomp","Overall Score","MeanState","global","score","1","0.628351","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_sp","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","1.55493","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_sp","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","2.22002","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_sp","Period Mean (original grids)","MeanState","global","scalar","mm d-1","1.14281","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_sp","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","1.39037","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_sp","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","0.631876","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_sp","Spatial Distribution Score","MeanState","global","score","1","0.95345","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_sp","Phase Shift","MeanState","global","scalar","months","1.31556","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_sp","Seasonal Cycle Score","MeanState","global","score","1","0.791551","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_sp","Bias","MeanState","global","scalar","mm d-1","-0.131724","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_sp","Bias Score","MeanState","global","score","1","0.502565","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_sp","RMSE","MeanState","global","scalar","mm d-1","0.677808","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_sp","RMSE Score","MeanState","global","score","1","0.561457","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_sp","Overall Score","MeanState","global","score","1","0.674096","75.0"
